phrase_id,section_id,event_range,phrase_role,version_id,wav_path,phrase_start_s,phrase_end_s,start_event_id,end_event_id,source_alignment_rows,phrase_boundary_source,review_status,issue_type,severity,comment,preferred_version,experimental_render,production_grade,not_ml_training_data,phrase_play_start_s,phrase_play_end_s,phrase_tail_end_s,next_phrase_first_attack_s,phrase_end_policy
XWC_P01_LOCAL_PHRASE,XWC_P01,XWC_P01_N01_to_XWC_P01_N04,opening_statement,A_LITERAL,04_outputs/XWC/RS_XWC_002_BAIYA_PILOT/abcd_experimental_render/A_LITERAL/XWC_BAIYA_A_LITERAL.wav,1.284,20.877,XWC_P01_N01,XWC_P01_N04,4,derived_from_version_alignment_not_absolute_switching,not_started_provisional,,,,,true,false,true,1.284,16.785,20.877,16.815,before_next_phrase_first_attack_minus_0.03s
XWC_P01_LOCAL_PHRASE,XWC_P01,XWC_P01_N01_to_XWC_P01_N04,opening_statement,B_PHRASE,04_outputs/XWC/RS_XWC_002_BAIYA_PILOT/abcd_experimental_render/B_PHRASE/XWC_BAIYA_B_PHRASE.wav,1.284,20.324,XWC_P01_N01,XWC_P01_N04,4,derived_from_version_alignment_not_absolute_switching,not_started_provisional,,,,,true,false,true,1.284,17.572,20.324,17.602,before_next_phrase_first_attack_minus_0.03s
XWC_P01_LOCAL_PHRASE,XWC_P01,XWC_P01_N01_to_XWC_P01_N04,opening_statement,C_QINIST_STYLE,04_outputs/XWC/RS_XWC_002_BAIYA_PILOT/abcd_experimental_render/C_QINIST_STYLE/XWC_BAIYA_C_QINIST_STYLE.wav,1.284,20.051,XWC_P01_N01,XWC_P01_N04,4,derived_from_version_alignment_not_absolute_switching,not_started_provisional,,,,,true,false,true,1.284,16.755,20.051,16.785,before_next_phrase_first_attack_minus_0.03s
XWC_P01_LOCAL_PHRASE,XWC_P01,XWC_P01_N01_to_XWC_P01_N04,opening_statement,D_TEACHING_DIAGNOSTIC,04_outputs/XWC/RS_XWC_002_BAIYA_PILOT/abcd_experimental_render/D_TEACHING_DIAGNOSTIC/XWC_BAIYA_D_TEACHING_DIAGNOSTIC.wav,1.284,21.702,XWC_P01_N01,XWC_P01_N04,4,derived_from_version_alignment_not_absolute_switching,not_started_provisional,,,,,true,false,true,1.284,18.560,21.702,18.590,before_next_phrase_first_attack_minus_0.03s
XWC_P02_LOCAL_PHRASE,XWC_P02,XWC_P02_N01_to_XWC_P02_N06,provisional_local_render_phrase,A_LITERAL,04_outputs/XWC/RS_XWC_002_BAIYA_PILOT/abcd_experimental_render/A_LITERAL/XWC_BAIYA_A_LITERAL.wav,16.392,35.239,XWC_P02_N01,XWC_P02_N06,6,derived_from_version_alignment_not_absolute_switching,not_started_provisional,,,,,true,false,true,16.392,32.738,35.239,32.768,before_next_phrase_first_attack_minus_0.03s
XWC_P02_LOCAL_PHRASE,XWC_P02,XWC_P02_N01_to_XWC_P02_N06,provisional_local_render_phrase,B_PHRASE,04_outputs/XWC/RS_XWC_002_BAIYA_PILOT/abcd_experimental_render/B_PHRASE/XWC_BAIYA_B_PHRASE.wav,17.179,37.434,XWC_P02_N01,XWC_P02_N06,6,derived_from_version_alignment_not_absolute_switching,not_started_provisional,,,,,true,false,true,17.179,34.396,37.434,34.426,before_next_phrase_first_attack_minus_0.03s
XWC_P02_LOCAL_PHRASE,XWC_P02,XWC_P02_N01_to_XWC_P02_N06,provisional_local_render_phrase,C_QINIST_STYLE,04_outputs/XWC/RS_XWC_002_BAIYA_PILOT/abcd_experimental_render/C_QINIST_STYLE/XWC_BAIYA_C_QINIST_STYLE.wav,16.362,35.709,XWC_P02_N01,XWC_P02_N06,6,derived_from_version_alignment_not_absolute_switching,not_started_provisional,,,,,true,false,true,16.362,32.317,35.709,32.347,before_next_phrase_first_attack_minus_0.03s
XWC_P02_LOCAL_PHRASE,XWC_P02,XWC_P02_N01_to_XWC_P02_N06,provisional_local_render_phrase,D_TEACHING_DIAGNOSTIC,04_outputs/XWC/RS_XWC_002_BAIYA_PILOT/abcd_experimental_render/D_TEACHING_DIAGNOSTIC/XWC_BAIYA_D_TEACHING_DIAGNOSTIC.wav,18.167,39.064,XWC_P02_N01,XWC_P02_N06,6,derived_from_version_alignment_not_absolute_switching,not_started_provisional,,,,,true,false,true,18.167,37.369,39.064,37.399,before_next_phrase_first_attack_minus_0.03s
XWC_P03_LOCAL_PHRASE,XWC_P03,XWC_P03_N01_to_XWC_P03_N06,provisional_local_render_phrase,A_LITERAL,04_outputs/XWC/RS_XWC_002_BAIYA_PILOT/abcd_experimental_render/A_LITERAL/XWC_BAIYA_A_LITERAL.wav,30.836,51.542,XWC_P03_N01,XWC_P03_N06,6,derived_from_version_alignment_not_absolute_switching,not_started_provisional,,,,,true,false,true,30.836,47.724,51.542,47.754,before_next_phrase_first_attack_minus_0.03s
XWC_P03_LOCAL_PHRASE,XWC_P03,XWC_P03_N01_to_XWC_P03_N06,provisional_local_render_phrase,B_PHRASE,04_outputs/XWC/RS_XWC_002_BAIYA_PILOT/abcd_experimental_render/B_PHRASE/XWC_BAIYA_B_PHRASE.wav,32.494,52.352,XWC_P03_N01,XWC_P03_N06,6,derived_from_version_alignment_not_absolute_switching,not_started_provisional,,,,,true,false,true,32.494,49.945,52.352,49.975,before_next_phrase_first_attack_minus_0.03s
