review_id,phrase_id,version_id,section_id,issue_type,severity,comment,suggested_revision,review_status,gpt_review_pending,e_revision_plan_generated,e_generated,f_generation_pending,f_input_source,f_not_generated,f_generation_completed,f_version_id,experimental_render,review_only,production_grade
R2_REVIEW_XWC_P01_LOCAL_PHRASE_C_QINIST_STYLE,XWC_P01_LOCAL_PHRASE,C_QINIST_STYLE,XWC_P01,phrase_unclear,medium,试试其它节拍,123——4——,draft,true,false,false,false,E_REVIEWED_USER_REVIEW,false,true,F_FINAL_REVIEWED,true,true,false
R2_REVIEW_XWC_P02_LOCAL_PHRASE_C_QINIST_STYLE,XWC_P02_LOCAL_PHRASE,C_QINIST_STYLE,XWC_P02,phrase_unclear,medium,试试其它节拍,12345——6——,draft,true,false,false,false,E_REVIEWED_USER_REVIEW,false,true,F_FINAL_REVIEWED,true,true,false
R2_REVIEW_XWC_P09_LOCAL_PHRASE_B_PHRASE,XWC_P09_LOCAL_PHRASE,B_PHRASE,XWC_P09,context_take_overused,high,把带上下文的掐起和上下文连接，这样不是就有2个上下文的音了？,,draft,true,false,false,false,E_REVIEWED_USER_REVIEW,false,true,F_FINAL_REVIEWED,true,true,false
R2_REVIEW_XWC_P09_LOCAL_PHRASE_C_QINIST_STYLE,XWC_P09_LOCAL_PHRASE,C_QINIST_STYLE,XWC_P09,context_take_overused,high,把带上下文的掐起和上下文连接，这样不是就有2个上下文的音了？,,draft,true,false,false,false,E_REVIEWED_USER_REVIEW,false,true,F_FINAL_REVIEWED,true,true,false
R2_REVIEW_XWC_P09_LOCAL_PHRASE_D_TEACHING_DIAGNOSTIC,XWC_P09_LOCAL_PHRASE,D_TEACHING_DIAGNOSTIC,XWC_P09,context_take_overused,high,把带上下文的掐起和上下文连接，这样不是就有2个上下文的音了？,把带上下文的掐起和上下文连接，这样不是就有2个上下文的音了？,draft,true,false,false,false,E_REVIEWED_USER_REVIEW,false,true,F_FINAL_REVIEWED,true,true,false
R2_REVIEW_XWC_P10_LOCAL_PHRASE_A_LITERAL,XWC_P10_LOCAL_PHRASE,A_LITERAL,XWC_P10,good,low,试试其它节拍,1——234——5——6——7——,draft,true,false,false,false,E_REVIEWED_USER_REVIEW,false,true,F_FINAL_REVIEWED,true,true,false
R2_REVIEW_XWC_P10_LOCAL_PHRASE_E_REVIEWED,XWC_P10_LOCAL_PHRASE,E_REVIEWED,XWC_P10,good,low,全曲整体略散漫,全曲建议统一提速，听评1.5倍速正好,draft,true,false,false,false,E_REVIEWED_USER_REVIEW,false,true,F_FINAL_REVIEWED,true,true,false
R2_REVIEW_XWC_P01_LOCAL_PHRASE_E_REVIEWED,XWC_P01_LOCAL_PHRASE,E_REVIEWED,XWC_P01,transition_unnatural,low,最后1个散音与泛音的连接再紧密一点,注意整体拍数要符合音律，不要无脑调整散音与泛音间隔,draft,true,false,false,false,E_REVIEWED_USER_REVIEW,false,true,F_FINAL_REVIEWED,true,true,false
R2_REVIEW_XWC_P02_LOCAL_PHRASE_E_REVIEWED,XWC_P02_LOCAL_PHRASE,E_REVIEWED,XWC_P02,good,low,最后一个散音节拍略长,略微缩短，但需注意整句符合音律节拍,draft,true,false,false,false,E_REVIEWED_USER_REVIEW,false,true,F_FINAL_REVIEWED,true,true,false
R2_REVIEW_XWC_P02_LOCAL_PHRASE_E_REVIEWED,XWC_P02_LOCAL_PHRASE,E_REVIEWED,XWC_P02,transition_unnatural,low,最后一个散音节拍略长,略微缩短，但需注意整句符合音律节拍,draft,true,false,false,false,E_REVIEWED_USER_REVIEW,false,true,F_FINAL_REVIEWED,true,true,false
R2_REVIEW_XWC_P03_LOCAL_PHRASE_E_REVIEWED,XWC_P03_LOCAL_PHRASE,E_REVIEWED,XWC_P03,transition_unnatural,low,同第2句,同第2句,draft,true,false,false,false,E_REVIEWED_USER_REVIEW,false,true,F_FINAL_REVIEWED,true,true,false
R2_REVIEW_XWC_P03_LOCAL_PHRASE_E_REVIEWED,XWC_P03_LOCAL_PHRASE,E_REVIEWED,XWC_P03,good,low,同第2句,同第2句,draft,true,false,false,false,E_REVIEWED_USER_REVIEW,false,true,F_FINAL_REVIEWED,true,true,false
R2_REVIEW_XWC_P04_LOCAL_PHRASE_E_REVIEWED,XWC_P04_LOCAL_PHRASE,E_REVIEWED,XWC_P04,transition_unnatural,low,同第2句,同第2句,draft,true,false,false,false,E_REVIEWED_USER_REVIEW,false,true,F_FINAL_REVIEWED,true,true,false
R2_REVIEW_XWC_P04_LOCAL_PHRASE_E_REVIEWED,XWC_P04_LOCAL_PHRASE,E_REVIEWED,XWC_P04,good,low,同第2句,同第2句,draft,true,false,false,false,E_REVIEWED_USER_REVIEW,false,true,F_FINAL_REVIEWED,true,true,false
R2_REVIEW_XWC_P05_LOCAL_PHRASE_E_REVIEWED,XWC_P05_LOCAL_PHRASE,E_REVIEWED,XWC_P05,transition_unnatural,low,同第2句,同第2句,draft,true,false,false,false,E_REVIEWED_USER_REVIEW,false,true,F_FINAL_REVIEWED,true,true,false
